album_id,artist_id,artist_role,credit_order
ALB001,ART001,primary,1
ALB002,ART002,primary,1
ALB003,ART003,primary,1
ALB004,ART006,primary,1
ALB005,ART007,primary,1
ALB006,ART008,primary,1
ALB007,ART009,primary,1
ALB008,ART010,primary,1
ALB009,ART011,primary,1
ALB010,ART012,primary,1
ALB011,ART003,primary,1
ALB012,ART014,primary,1
ALB013,ART015,primary,1
ALB014,ART016,primary,1
ALB015,ART017,primary,1
ALB016,ART018,primary,1
ALB017,ART019,primary,1
ALB018,ART020,primary,1
ALB019,ART021,primary,1
ALB020,ART022,primary,1
ALB021,ART003,primary,1
ALB022,ART023,primary,1
ALB023,ART024,primary,1
ALB023,ART003,primary,2
ALB024,ART025,primary,1
ALB025,ART026,primary,1
ALB026,ART027,primary,1
ALB027,ART028,primary,1
ALB028,ART029,primary,1
ALB029,ART023,primary,1
ALB030,ART030,primary,1
ALB031,ART031,primary,1
ALB032,ART032,primary,1
ALB033,ART033,primary,1
ALB034,ART034,primary,1
ALB035,ART035,primary,1
ALB036,ART036,primary,1
ALB037,ART037,primary,1
ALB038,ART038,primary,1
ALB039,ART039,primary,1
ALB040,ART040,primary,1
ALB041,ART041,primary,1
ALB042,ART042,primary,1
ALB043,ART043,primary,1
ALB044,ART047,primary,1
ALB044,ART003,primary,2
ALB045,ART003,primary,1
ALB046,ART024,primary,1
ALB047,ART003,primary,1
ALB048,ART065,primary,1
ALB049,ART073,primary,1
ALB050,ART065,primary,1
ALB051,ART066,primary,1
ALB052,ART065,primary,1
ALB053,ART047,primary,1
ALB054,ART079,primary,1
ALB055,ART077,primary,1
ALB056,ART082,primary,1
ALB057,ART083,primary,1
ALB058,ART077,primary,1
ALB059,ART073,primary,1
ALB060,ART066,primary,1
ALB061,ART088,primary,1
ALB062,ART089,primary,1
ALB063,ART090,primary,1
ALB064,ART091,primary,1
ALB065,ART092,primary,1
ALB066,ART093,primary,1
ALB067,ART094,primary,1
ALB068,ART095,primary,1
ALB069,ART096,primary,1
ALB070,ART097,primary,1
ALB071,ART098,primary,1
ALB072,ART099,primary,1
ALB073,ART003,primary,1
ALB074,ART066,primary,1
