album_id,album_name,release_date,external_source,external_album_ref
ALB001,It Must Be Jesus,1954-01-01,,
ALB002,Ray Charles,1957-01-01,,
ALB003,Late Registration,2005-08-30,,
ALB004,90125,1983-11-07,,
ALB005,Who's Afraid of the Art of Noise?,1984-01-01,,
ALB006,Straight from the Basement of Kooley High!,1986-01-01,,
ALB007,In Full Effect,1988-01-01,,
ALB008,Donuts,2006-02-07,,
ALB009,Sketches of a Man,2008-01-01,,
ALB010,2+2+1,1971-01-01,,
ALB011,Yeezus,2013-06-18,,
ALB012,Transformer,1972-11-08,,
ALB013,The Low End Theory,1991-09-24,,
ALB014,Street Songs,1981-04-07,,
ALB015,Please Hammer Don't Hurt 'Em,1990-02-12,,
ALB016,Juicy Fruit,1983-01-01,,
ALB017,Ready to Die,1994-09-13,,
ALB018,The Charmels,1967-01-01,,
ALB019,Enter the Wu-Tang (36 Chambers),1993-11-09,,
ALB020,I Feel for You,1984-10-01,,
ALB021,The College Dropout,2004-02-10,,
ALB022,Complete & Unbelievable,1966-01-01,,
ALB023,Watch the Throne (Deluxe),2011-08-08,,
ALB024,Pastel Blues,1965-10-01,,
ALB025,Jolene,1974-02-04,,
ALB026,Prisoner in Disguise,1975-09-15,,
ALB027,The Bodyguard,1992-11-17,,
ALB028,You Light Up My Life: Inspirational Songs,1997-09-09,,
ALB029,Otis Blue,1965-09-15,,
ALB030,I Never Loved a Man the Way I Love You,1967-03-10,,
ALB031,Tracy Chapman,1988-04-05,,
ALB032,Gettin' Old,2023-03-24,,
ALB033,Various Positions,1984-12-11,,
ALB034,Grace,1994-08-23,,
ALB035,Shrek: Music from the Original Motion Picture,2001-01-01,,
ALB036,A Pentatonix Christmas,2016-10-21,,
ALB037,Hymns of the 49th Parallel,2004-07-06,,
ALB038,The Downward Spiral,1994-03-08,,
ALB039,American IV: The Man Comes Around,2002-11-05,,
ALB040,Killing Me Softly,1973-01-01,,
ALB041,The Score,1996-02-13,,
ALB042,The Man Who Sold the World,1970-11-04,,
ALB043,MTV Unplugged in New York,1994-11-01,,
ALB044,Cruel Summer,2012-09-14,,
ALB045,My Beautiful Dark Twisted Fantasy,2010-11-22,,
ALB046,The Blueprint 3,2009-09-08,,
ALB047,Graduation,2007-09-11,,
ALB048,Long.Live.A$AP,2013-01-15,,
ALB049,Oxymoron,2014-02-25,,
ALB050,Live.Love.A$AP,2011-10-31,,
ALB051,"good kid, m.A.A.d city",2012-10-22,,
ALB052,Testing,2018-05-25,,
ALB053,Hall of Fame,2013-08-13,,
ALB054,The Melodic Blue,2021-09-10,,
ALB055,Black Panther The Album,2018-02-09,,
ALB056,Birds in the Trap Sing McKnight,2016-09-02,,
ALB057,Major Key,2016-07-29,,
ALB058,Redemption,2018-06-15,,
ALB059,Blank Face LP,2016-07-08,,
ALB060,DAMN.,2017-04-14,,
ALB061,Luck of the Draw,1991-06-25,,
ALB062,Automatic for the People,1992-10-05,,
ALB063,Trading Snakeoil for Wolftickets,2001-05-08,,
ALB064,Just As I Am,1971-05-01,,
ALB065,I Do Not Want What I Haven't Got,1990-03-20,,
ALB066,Rush (Music from the Motion Picture Soundtrack),1992-01-14,,
ALB067,21,2011-01-24,,
ALB068,G I R L,2014-03-03,,
ALB069,Can't Stop the Feeling!,2016-05-06,,
ALB070,Teenage Dream,2010-08-24,,
ALB071,24K Magic,2016-11-18,,
ALB072,Speakerboxxx/The Love Below,2003-09-23,,
ALB073,808s & Heartbreak,2008-11-24,,
ALB074,To Pimp a Butterfly,2015-03-15,,
